Time (s);30 mm;50 mm;70 mm
1,0;31,0;50,0;67,0
2,0;31,0;50,0;68,0
3,0;29,0;49,0;67,0
4,0;30,0;52,0;68,0
5,0;28,0;51,0;66,0
6,0;33,0;50,0;67,0
7,0;31,0;50,0;67,0
8,0;31,0;51,0;68,0
9,0;29,0;49,0;69,0
10,0;33,0;53,0;70,0
11,0;30,0;49,0;68,0
12,0;33,0;50,0;67,0
13,0;29,0;51,0;69,0
14,0;33,0;53,0;66,0
15,0;30,0;50,0;67,0
16,0;32,0;50,0;67,0
17,0;31,0;48,0;69,0
18,0;33,0;53,0;65,0
19,0;32,0;53,0;68,0
20,0;33,0;53,0;69,0
21,0;31,0;53,0;68,0
22,0;28,0;52,0;69,0
23,0;28,0;50,0;70,0
24,0;29,0;50,0;68,0
25,0;29,0;53,0;68,0
26,0;32,0;51,0;67,0
27,0;29,0;50,0;66,0
28,0;32,0;49,0;68,0
29,0;31,0;49,0;67,0
30,0;30,0;50,0;69,0
31,0;32,0;48,0;68,0
32,0;30,0;53,0;65,0
33,0;29,0;53,0;68,0
34,0;31,0;52,0;69,0
35,0;28,0;52,0;67,0
36,0;31,0;53,0;65,0
37,0;32,0;50,0;68,0
38,0;29,0;51,0;69,0
39,0;32,0;51,0;71,0
40,0;29,0;50,0;67,0
41,0;31,0;53,0;68,0
42,0;32,0;50,0;69,0
43,0;29,0;52,0;68,0
44,0;28,0;50,0;69,0
45,0;33,0;53,0;70,0
46,0;32,0;52,0;67,0
47,0;30,0;52,0;70,0
48,0;28,0;52,0;69,0
49,0;32,0;52,0;68,0
50,0;28,0;50,0;67,0
51,0;28,0;48,0;67,0
52,0;28,0;51,0;67,0
53,0;30,0;53,0;67,0
54,0;29,0;49,0;68,0
55,0;33,0;50,0;70,0
56,0;30,0;53,0;67,0
57,0;31,0;48,0;70,0
58,0;28,0;49,0;68,0
59,0;31,0;50,0;69,0
60,0;31,0;51,0;67,0
